LocationNormalized,transactions,total_amount
MUMBAI,103596,179689116.82
NEW DELHI,84928,160705852.89
BANGALORE,81555,118424843.07
GURGAON,73818,112094694.43
DELHI,71019,106224939.75
KOLKATA,19974,60600310.18
CHENNAI,30009,44637821.43
NOIDA,32784,44463433.11
PUNE,25851,39590348.75
HYDERABAD,23049,36177394.43
THANE,21505,27158100.63
GHAZIABAD,15834,26092928.93
AHMEDABAD,12264,20992875.04
NAVI MUMBAI,13080,20949549.56
FARIDABAD,11318,14986075.02
CHANDIGARH,9526,14918924.57
JAIPUR,9921,14066858.56
LUCKNOW,7763,11903215.41
ALLAHABAD,1972,11729379.42
MOHALI,6741,10576318.4
