LocationNormalized,CustomerID,total_spent,transactions,city_rank
GURGAON,C7319271,1560034.99,1,1
PUNE,C6677159,1380002.88,1,1
NEW DELHI,C4141768,991132.22,1,1
MUMBAI,C8217728,724122.0,1,1
KOLKATA,C1830891,720001.16,1,1
NOIDA,C6549785,600008.32,1,1
DELHI,C4328064,569500.27,1,1
PALAKKARAI TRICHY,C5833636,557000.73,1,1
LUDHIANA,C8755262,514320.0,1,1
BANGALORE,C5720892,500000.0,1,1
GATE NO 4 MUMBAI,C7367184,455122.0,1,1
JALANDHAR,C6836340,452400.0,1,1
HYDERABAD,C7525532,450000.0,1,1
SECUNDERABAD,C8935180,448458.0,1,1
MUNCHEN,C5133852,400000.0,1,1
JAIPUR DURGAPURA,C5727148,378415.46,1,1
RAIPUR,C6741078,378006.07,1,1
ANAND,C5140623,326510.0,1,1
MOSQUE COCHIN,C4037656,314000.0,1,1
NAVI MUMBAI,C3845684,278800.18,1,1
CHENNAI,C3332391,265414.0,1,1
MOHALI,C7617430,241596.74,1,1
ORLANDO,C7379252,240927.0,1,1
NAHARLAGUN,C6019474,239080.0,1,1
TRICHUR,C4138048,228000.0,1,1
GARDEN NAVI MUMBAI THANE,C1036548,207520.0,1,1
POWAI,C6839147,206667.0,1,1
JIZAN,C1520865,206500.0,1,1
AGRA,C8734760,200000.0,1,1
COIMBATORE,C4012590,200000.0,1,1
RIYADH,C4530364,200000.0,1,1
THRISSUR,C1835342,200000.0,1,1
NAPERVILLE,C8493485,195400.0,1,1
KANPUR,C5015870,195000.0,1,1
BHUBANESHWAR,C3610020,190000.0,1,1
RAMAPURAM CHENNAI,C6138758,186250.0,1,1
VADODARA,C5416320,182430.0,1,1
GWALIOR,C7715079,180018.0,1,1
INDORE,C5220017,172369.15,1,1
RAJKOT,C5035880,170000.0,1,1
VISAKHAPATNAM,C8621354,169000.0,1,1
GUNTUR,C1131413,167041.46,1,1
PALYA BANGALORE,C8421969,163000.0,1,1
BILASPUR,C2811139,151373.0,1,1
LAKSHMI MEDICALS HOSUR,C3623816,150000.84,1,1
THANE WEST,C3238176,150000.0,1,1
TRICHY,C6461159,150000.0,1,1
AHMEDABAD,C5925648,149999.99,1,1
KARNAL,C2817232,149587.0,1,1
YAMUNANAGAR,C3823911,148405.0,1,1
JAIPUR,C8520573,147677.0,1,1
NASHIK NASHIK NASHIK NASHIK,C6211412,146000.0,1,1
CHANDIGARH,C7684713,145000.0,1,1
HOSPITAL THANE,C2975720,140000.0,1,1
THANE,C1938828,140000.0,1,1
KOCHI,C3721914,137489.0,1,1
EAST SIKKIM GANGTOK,C1132457,136487.0,1,1
HOSPITAL POWAI MUMBAI,C5617752,136000.0,1,1
TALUK BANGALORE,C7035629,134900.0,1,1
VATSALYA GUEST HOUSE HYDERABAD,C2521743,133950.0,1,1
WEST HARTFORD,C2129882,132000.0,1,1
MAYURBHANJ,C5539341,131500.19,1,1
