TransactionDateParsed,transactions,total_amount
2016-08-01,20438,29801816.34
2016-08-02,20948,30467503.29
2016-08-03,20615,31149483.67
2016-08-04,20682,35722718.64
2016-08-05,21112,34833933.12
2016-08-06,26585,47527227.82
2016-08-07,27261,45727772.63
2016-08-08,21042,30129433.64
2016-08-09,21823,33479570.48
2016-08-10,21649,32016308.51
2016-08-11,21833,31861317.88
2016-08-12,22438,34693994.33
2016-08-13,26921,44645472.34
2016-08-14,25596,45732820.1
2016-08-15,24171,44313092.06
2016-08-16,20414,32475746.59
2016-08-17,21121,33650376.18
2016-08-18,19453,30265934.55
2016-08-19,18714,26591483.45
2016-08-20,21339,34317918.94
2016-08-21,22986,34301751.22
2016-08-22,18558,30051816.95
2016-08-23,17374,26596737.44
2016-08-24,18026,29648858.76
2016-08-25,18546,29170857.91
2016-08-26,17742,26156026.5
2016-08-27,21469,34876843.03
2016-08-28,21054,31692083.74
2016-08-29,16882,23767589.04
2016-08-30,17430,26100171.45
2016-08-31,19711,28832833.24
2016-09-01,22327,33305061.05
2016-09-02,22839,36649840.64
2016-09-03,26431,45312089.56
2016-09-04,26564,46118447.52
2016-09-05,21221,33230991.52
2016-09-06,19640,29688559.95
2016-09-07,21161,30440017.98
2016-09-08,21765,33874859.21
2016-09-09,21568,34003054.98
2016-09-10,25761,39988234.58
2016-09-11,25454,41668308.96
2016-09-12,20753,30679030.82
2016-09-13,20601,29825024.24
2016-09-14,19969,30153189.03
2016-09-15,19754,29237909.6
2016-09-18,14689,23811471.4
2016-09-22,6971,12746612.34
2016-09-23,3485,4733700.44
2016-09-25,8164,12064575.65
2016-09-26,12460,20781808.41
2016-09-27,7447,10901762.72
2016-09-30,1951,3316668.5
2016-10-16,3,1067.0
2016-10-21,3656,7663951.63
