TransactionID,CustomerID,LocationNormalized,CustAccountBalance,TransactionAmount (INR),spend_balance_ratio
T742111,C7323566,CHANDIGARH,0.01,42398.0,4239800.0
T836117,C5719489,KOLAR,0.01,25500.0,2550000.0
T253453,C3523520,CHANDIGARH,0.01,20000.0,2000000.0
T652735,C6038911,TANK HYDERABAD,0.01,17820.0,1782000.0
T421850,C2816416,MUMBAI,0.01,15715.0,1571500.0
T424045,C7338987,TANK HYDERABAD,0.01,10764.0,1076400.0
T343016,C2223587,CHANDIGARH,0.01,9500.0,950000.0
T782382,C8238539,LUCKNOW,0.01,9000.0,900000.0
T311365,C5527984,FARIDABAD,0.01,8700.0,870000.0
T196759,C1920771,CHENNAI,0.05,42625.0,852500.0
T295993,C7914911,NAVI MUMBAI,0.01,6910.0,691000.0
T321959,C7572985,DELHI,0.01,6080.0,608000.0
T974802,C3772967,DELHI,0.01,5905.0,590500.0
T793839,C8825631,NASHIK,0.01,5690.0,569000.0
T360111,C1522681,MANGALORE D K,0.01,5655.0,565500.0
T872230,C5930460,NEW DELHI,0.01,5550.0,555000.0
T285555,C4099744,KAITHAL,0.01,5280.0,528000.0
T60477,C1714915,NAVI MUMBAI,0.01,4978.5,497850.0
T409747,C6813744,NEW DELHI,0.01,4678.0,467800.0
T141463,C4153580,HAMIRPUR,0.02,8500.0,425000.0
T144661,C4753536,HAMIRPUR,0.02,8000.0,400000.0
T828183,C4332969,NEW DELHI,0.01,3813.0,381300.0
T1031868,C9020016,SIVASAGAR,0.01,3800.0,380000.0
T375799,C8437656,DERA BASSI,0.04,14950.0,373750.0
T415737,C4013763,NEW DELHI,0.01,3674.0,367400.0
T615756,C5826991,HYDERABAD,0.01,3482.12,348212.0
T816638,C6937588,SURAT,0.01,3190.0,319000.0
T940017,C3918352,DELHI,0.01,3160.0,316000.0
T244155,C8141778,MUMBAI,0.01,3152.18,315218.0
T597108,C8213754,NEW DELHI,0.01,3028.34,302834.0
T974419,C2911927,JHANSI,0.01,2994.01,299401.0
T487610,C1899756,KAITHAL,0.01,2844.17,284417.0
T422384,C3916440,MUMBAI,0.01,2760.0,276000.0
T624459,C5047022,SILIGURI,0.01,2698.01,269801.0
T259584,C1941764,MUMBAI,0.01,2675.0,267500.0
T626832,C4047046,SILIGURI,0.01,2606.0,260600.0
T701327,C5178022,PUNE,0.01,2501.0,250100.0
T141093,C8137657,DERA BASSI,0.04,10000.0,250000.0
T930309,C1736361,AMBALA CANTT,0.01,2500.0,250000.0
T956056,C5437636,BANGALORE,0.01,2297.0,229700.0
T957471,C3237640,BANGALORE,0.01,2297.0,229700.0
T648980,C2424871,BHOPAL,0.01,2233.72,223371.99999999997
T624266,C4037056,NEW DELHI,0.01,2230.0,223000.0
T876003,C4633157,NASHIK,0.01,2200.0,220000.0
T736417,C3926754,MUMBAI,0.01,2198.0,219800.0
T69549,C1230675,NAVI MUMBAI,0.01,2138.0,213800.0
T543399,C3333166,NASHIK,0.01,2100.0,210000.0
T151591,C2833119,NASHIK,0.01,2058.48,205848.0
T774508,C6411920,JHANSI,0.01,2032.0,203200.0
T651880,C8324890,BHOPAL,0.01,2007.66,200766.0
T961335,C2437621,BANGALORE,0.01,1905.0,190500.0
T568415,C1024352,THANE,0.01,1827.15,182715.0
T360734,C6037646,DERA BASSI,0.04,7270.0,181750.0
T894595,C2825649,NASHIK,0.01,1769.0,176900.0
T673265,C5284589,THRISSUR,0.02,3500.0,175000.0
T491469,C4239829,MUMBAI,0.01,1718.0,171800.0
T422818,C1116470,MUMBAI,0.01,1710.0,171000.0
T31199,C2715223,SAMALKHA,0.01,1707.0,170700.0
T678445,C2610554,MUMBAI,0.02,3165.0,158250.0
T672201,C7013716,NEW DELHI,0.01,1572.46,157246.0
T688741,C2810584,MUMBAI,0.02,3080.0,154000.0
T823936,C5511966,JHANSI,0.01,1527.84,152784.0
T174294,C8737576,SURAT,0.01,1512.75,151275.0
T278260,C6337579,SURAT,0.01,1512.75,151275.0
T568915,C1539855,MUMBAI,0.01,1499.0,149900.0
T927464,C4237665,BANGALORE,0.01,1400.0,140000.0
T1046905,C6610050,CUTTACK CUTTACK,0.05,6993.6,139872.0
T584624,C1325064,DEHRADUN,0.01,1333.0,133300.0
T113411,C7620133,WINES CHARLAPALLY HYDERABAD,0.1,13040.0,130400.0
T141718,C8920157,WINES CHARLAPALLY HYDERABAD,0.1,13040.0,130400.0
T612417,C8137633,DERA BASSI,0.04,5000.0,125000.0
T785556,C4026752,MUMBAI,0.01,1249.0,124900.0
T853084,C4034153,KOLKATA,0.02,2415.92,120796.0
T363618,C8610583,MUMBAI,0.02,2350.0,117500.0
T368153,C5432019,GURGAON,0.01,1171.25,117125.0
T179275,C7739891,MUMBAI,0.01,1150.0,115000.0
T212937,C4914985,NAVI MUMBAI,0.01,1131.5,113150.0
T847737,C2330456,NEW DELHI,0.01,1127.0,112700.0
T561525,C3727970,FARIDABAD,0.01,1110.0,111000.0
T882,C3310523,MUMBAI,0.02,2220.0,111000.0
T838865,C3034116,KOLKATA,0.02,2210.0,110500.0
